Campaign_ID,Company,Campaign_Type,Target_Audience,Duration,Channel_Used,Conversion_Rate,Acquisition_Cost,ROI,Location,Language,Clicks,Impressions,Engagement_Score,Customer_Segment,Date
100001,DataTech Solutions,Social Media,Women 35-44,30 days,Facebook,0.14,"$19,514.00",2.6,New York,French,636,4796,2,Health & Wellness,2021-12-22
100002,Alpha Innovations,Display,Men 18-24,30 days,Facebook,0.02,"$8,215.00",6.71,Miami,German,259,4905,3,Fashionistas,2021-12-23
100003,NexGen Systems,Social Media,Women 35-44,45 days,Website,0.13,"$13,017.00",4.15,Miami,French,157,3552,9,Fashionistas,2021-12-24
100004,TechCorp,Display,Women 35-44,15 days,Website,0.06,"$13,234.00",5.88,Miami,English,655,6131,4,Tech Enthusiasts,2021-12-25
100005,TechCorp,Social Media,All Ages,45 days,Instagram,0.03,"$10,189.00",6.32,Los Angeles,Spanish,857,8330,8,Health & Wellness,2021-12-26
100006,Innovate Industries,Social Media,Men 18-24,30 days,Facebook,0.12,"$14,371.00",7.17,Miami,Mandarin,803,9671,10,Tech Enthusiasts,2021-12-27
100007,Alpha Innovations,Search,All Ages,60 days,Google Ads,0.13,"$17,935.00",6.56,Miami,Spanish,707,5382,7,Foodies,2021-12-28
100008,NexGen Systems,Influencer,Women 25-34,15 days,YouTube,0.13,"$14,858.00",2.65,Los Angeles,French,1000,8638,2,Outdoor Adventurers,2021-12-29
100009,Innovate Industries,Email,Women 25-34,45 days,Facebook,0.14,"$10,786.00",7.26,New York,Mandarin,147,8362,6,Fashionistas,2021-12-30
100010,DataTech Solutions,Search,Men 18-24,60 days,Facebook,0.02,"$5,319.00",7.7,Houston,French,357,4842,10,Tech Enthusiasts,2021-12-31
100011,Alpha Innovations,Search,Men 25-34,15 days,Email,0.14,"$10,867.00",6.94,New York,English,413,7697,6,Tech Enthusiasts,2021-01-01
100012,Alpha Innovations,Display,All Ages,15 days,Website,0.06,"$14,680.00",2.84,Houston,Mandarin,712,8816,10,Outdoor Adventurers,2021-01-02
100013,TechCorp,Social Media,Women 35-44,45 days,Google Ads,0.13,"$7,889.00",5.38,Chicago,English,826,2397,7,Health & Wellness,2021-01-03
100014,Innovate Industries,Email,Men 25-34,15 days,Website,0.07,"$6,697.00",5.05,Chicago,French,160,3289,2,Tech Enthusiasts,2021-01-04
100015,Alpha Innovations,Display,Women 35-44,15 days,Email,0.11,"$6,516.00",3.88,Chicago,English,625,1028,1,Fashionistas,2021-01-05
100016,DataTech Solutions,Influencer,Men 18-24,45 days,Instagram,0.14,"$18,723.00",5.41,Houston,German,892,5799,7,Outdoor Adventurers,2021-01-06
100017,NexGen Systems,Search,Women 35-44,30 days,Instagram,0.06,"$5,624.00",6.98,Chicago,English,816,7990,7,Fashionistas,2021-01-07
100018,DataTech Solutions,Display,Women 35-44,45 days,Instagram,0.01,"$18,655.00",4.64,New York,English,347,8703,8,Outdoor Adventurers,2021-01-08
100019,Innovate Industries,Email,Women 35-44,60 days,YouTube,0.08,"$13,004.00",3.8,Houston,French,631,6977,3,Foodies,2021-01-09
100020,DataTech Solutions,Display,All Ages,30 days,Instagram,0.02,"$8,656.00",3.71,Chicago,Mandarin,305,9157,1,Fashionistas,2021-01-10
100021,Innovate Industries,Email,All Ages,60 days,Email,0.07,"$19,968.00",4.76,Houston,Spanish,371,5026,3,Foodies,2021-01-11
100022,Alpha Innovations,Email,Men 25-34,60 days,Google Ads,0.05,"$17,631.00",3.83,Los Angeles,German,944,4922,2,Health & Wellness,2021-01-12
100023,NexGen Systems,Display,Men 25-34,60 days,Instagram,0.14,"$17,609.00",7.5,Chicago,Mandarin,331,8477,3,Outdoor Adventurers,2021-01-13
100024,TechCorp,Social Media,Men 18-24,60 days,Email,0.11,"$17,112.00",2.05,Houston,Mandarin,387,1804,9,Tech Enthusiasts,2021-01-14
100025,Innovate Industries,Email,All Ages,60 days,Facebook,0.07,"$11,771.00",6.6,Miami,German,807,2864,8,Tech Enthusiasts,2021-01-15
100026,DataTech Solutions,Search,Women 35-44,60 days,Email,0.04,"$10,300.00",2.34,Miami,German,653,5244,4,Tech Enthusiasts,2021-01-16
100027,DataTech Solutions,Display,Men 25-34,15 days,Instagram,0.03,"$12,854.00",6.63,New York,German,836,4453,9,Health & Wellness,2021-01-17
100028,Alpha Innovations,Social Media,Women 35-44,30 days,YouTube,0.14,"$15,806.00",7.49,Miami,French,512,4426,4,Foodies,2021-01-18
100029,Innovate Industries,Social Media,Women 25-34,30 days,Email,0.15,"$15,692.00",6.34,Chicago,German,387,3379,4,Fashionistas,2021-01-19
100030,Innovate Industries,Email,All Ages,60 days,YouTube,0.14,"$5,367.00",6.14,Houston,German,204,9862,1,Tech Enthusiasts,2021-01-20
100031,DataTech Solutions,Social Media,Men 25-34,30 days,Instagram,0.02,"$17,505.00",5.29,Los Angeles,French,297,5561,6,Tech Enthusiasts,2021-01-21
100032,TechCorp,Social Media,Women 25-34,15 days,Facebook,0.13,"$19,231.00",2.08,New York,Mandarin,741,5769,8,Fashionistas,2021-01-22
100033,Alpha Innovations,Influencer,Women 35-44,15 days,Website,0.14,"$19,673.00",5.3,Chicago,English,965,6660,10,Foodies,2021-01-23
