Campaign_ID,Company,Campaign_Type,Target_Audience,Duration,Channel_Used,Conversion_Rate,Acquisition_Cost,ROI,Location,Language,Clicks,Impressions,Engagement_Score,Customer_Segment,Date,CTR
100001,DataTech Solutions,Social Media,Women 35-44,30 days,Facebook,0.14,19514.0,2.6,New York,French,636,4796,2,Health & Wellness,2021-12-22,13.261050875729774
100002,Alpha Innovations,Display,Men 18-24,30 days,Facebook,0.02,8215.0,6.71,Miami,German,259,4905,3,Fashionistas,2021-12-23,5.28032619775739
100003,NexGen Systems,Social Media,Women 35-44,45 days,Website,0.13,13017.0,4.15,Miami,French,157,3552,9,Fashionistas,2021-12-24,4.420045045045045
100004,TechCorp,Display,Women 35-44,15 days,Website,0.06,13234.0,5.88,Miami,English,655,6131,4,Tech Enthusiasts,2021-12-25,10.683412167672484
100005,TechCorp,Social Media,All Ages,45 days,Instagram,0.03,10189.0,6.32,Los Angeles,Spanish,857,8330,8,Health & Wellness,2021-12-26,10.288115246098439
100006,Innovate Industries,Social Media,Men 18-24,30 days,Facebook,0.12,14371.0,7.17,Miami,Mandarin,803,9671,10,Tech Enthusiasts,2021-12-27,8.303174439044566
100007,Alpha Innovations,Search,All Ages,60 days,Google Ads,0.13,17935.0,6.56,Miami,Spanish,707,5382,7,Foodies,2021-12-28,13.136380527684876
100008,NexGen Systems,Influencer,Women 25-34,15 days,YouTube,0.13,14858.0,2.65,Los Angeles,French,1000,8638,2,Outdoor Adventurers,2021-12-29,11.57675387821255
100009,Innovate Industries,Email,Women 25-34,45 days,Facebook,0.14,10786.0,7.26,New York,Mandarin,147,8362,6,Fashionistas,2021-12-30,1.7579526429083951
100010,DataTech Solutions,Search,Men 18-24,60 days,Facebook,0.02,5319.0,7.7,Houston,French,357,4842,10,Tech Enthusiasts,2021-12-31,7.372986369268897
100011,Alpha Innovations,Search,Men 25-34,15 days,Email,0.14,10867.0,6.94,New York,English,413,7697,6,Tech Enthusiasts,2021-01-01,5.365726906586982
100012,Alpha Innovations,Display,All Ages,15 days,Website,0.06,14680.0,2.84,Houston,Mandarin,712,8816,10,Outdoor Adventurers,2021-01-02,8.076225045372052
100013,TechCorp,Social Media,Women 35-44,45 days,Google Ads,0.13,7889.0,5.38,Chicago,English,826,2397,7,Health & Wellness,2021-01-03,34.459741343345854
100014,Innovate Industries,Email,Men 25-34,15 days,Website,0.07,6697.0,5.05,Chicago,French,160,3289,2,Tech Enthusiasts,2021-01-04,4.8647005168744295
100015,Alpha Innovations,Display,Women 35-44,15 days,Email,0.11,6516.0,3.88,Chicago,English,625,1028,1,Fashionistas,2021-01-05,60.7976653696498
100016,DataTech Solutions,Influencer,Men 18-24,45 days,Instagram,0.14,18723.0,5.41,Houston,German,892,5799,7,Outdoor Adventurers,2021-01-06,15.381962407311606
100017,NexGen Systems,Search,Women 35-44,30 days,Instagram,0.06,5624.0,6.98,Chicago,English,816,7990,7,Fashionistas,2021-01-07,10.212765957446807
100018,DataTech Solutions,Display,Women 35-44,45 days,Instagram,0.01,18655.0,4.64,New York,English,347,8703,8,Outdoor Adventurers,2021-01-08,3.9871308744111227
100019,Innovate Industries,Email,Women 35-44,60 days,YouTube,0.08,13004.0,3.8,Houston,French,631,6977,3,Foodies,2021-01-09,9.044001719936935
100020,DataTech Solutions,Display,All Ages,30 days,Instagram,0.02,8656.0,3.71,Chicago,Mandarin,305,9157,1,Fashionistas,2021-01-10,3.330785191656656
100021,Innovate Industries,Email,All Ages,60 days,Email,0.07,19968.0,4.76,Houston,Spanish,371,5026,3,Foodies,2021-01-11,7.381615598885793
100022,Alpha Innovations,Email,Men 25-34,60 days,Google Ads,0.05,17631.0,3.83,Los Angeles,German,944,4922,2,Health & Wellness,2021-01-12,19.179195449004467
100023,NexGen Systems,Display,Men 25-34,60 days,Instagram,0.14,17609.0,7.5,Chicago,Mandarin,331,8477,3,Outdoor Adventurers,2021-01-13,3.9046832605874724
